,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Prevalence in males (%),Prevalence in females (%),Population_x,"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)",Population_y,Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number) (people suffering from depression),20-24 years old (%),10-14 years old (%),All ages (%),70+ years old (%),30-34 years old (%),15-19 years old (%),25-29 years old (%),50-69 years old (%),Age-standardized (%),15-49 years old (%)
27,Afghanistan,AFG,2017,0.166157851965,0.708088873434999,0.107142265558,4.88248127473,2.47393386897,4.13634710028,0.661217393723,3.57576322715,4.69048291068,36296000.0,9.18856839991993,4042.99692880999,36296000.0,967281.203243,4.38617197334,1.61827049279999,3.05078536451,5.27977235671,5.74990542336,3.43374976847,5.10502769873,6.13118270805,4.13634710028,5.01037151256
55,Albania,ALB,2017,0.201025478973,0.704479655103,0.174046095006,3.38524453734,0.517613960393,2.20841419824,1.8379547399,1.64892754577,2.7466249725,2884000.0,5.10878060847002,2104.97161062999,2884000.0,69686.9753985,2.43742427467,0.900395510494,2.60789622233,4.3995581055,2.40141750158999,2.00401357715,2.39839639224,3.66405169418,2.20841419824,2.48774661437
83,Algeria,DZA,2017,0.197913139914999,0.818687152645,0.213612216088,5.06587568443,1.71721825543,3.66109449605,0.665190886031,2.97071199222,4.34682306485,41389000.0,4.12430646193392,3445.18211702,41389000.0,1405671.09926,3.85447539978,1.75757779348999,3.69102048601,4.84827020873,4.63053418854,3.40412185036,4.25638565049999,5.40248320915,3.66109449605,4.52280768965
111,American Samoa,ASM,2017,0.248556654894,0.468304897786999,0.177807528145,3.31583375477,0.772801487795,2.93966806124,1.14227674545,2.45234578104,3.40516670237,56000.0,6.7385448838715,2821.19402627,56000.0,1483.68359915,2.88570800882,1.06362325796,2.78778846857,5.7460222231,2.97175380472,2.43816723976,2.86254410192,5.45137849688,2.93966806124,3.11550065724
139,Andorra,AND,2017,0.263512450809,0.963331292926,0.644558566578,5.30537469297,0.910066070297,3.72953168612,1.25605003594,2.78252021448,4.70440120897,77000.0,7.91227282513079,3418.14286039,77000.0,3339.03557625,4.28908161156,1.82338775976,4.37248460677,4.82799375586,4.86224332934,3.50725658097999,4.627740207,4.88261672799,3.72953168612,4.80517730549
167,Angola,AGO,2017,0.17279380396,0.623903582497,0.173642511006,3.29690630279,0.519555778533,4.16048419728,1.37824411741,3.60689811984,4.64525019476,29817000.0,11.9663053474358,4095.01849979,29817000.0,832599.333059,4.90834624704,1.4955496823,3.02430760439999,7.32061010443,5.05953961663999,3.7535636663,4.94026277967,6.54824797824,4.16048419728,4.91244290674
195,Antigua and Barbuda,ATG,2017,0.206408818879999,0.925268968309,0.350367843984,4.60482344264,0.786238854526,2.55796305238,2.15973642072,2.01212216184,3.05907308203,95000.0,2.6501244964816,2451.16295077,95000.0,2448.10116665,2.66339426108,1.23907559061,2.84010983178,4.16748061623,2.89968522185,2.47984126862,2.77599056848,4.17924323648,2.55796305238,2.98722232612
223,Argentina,ARG,2017,0.19809369227,0.773376024046,0.404033163099,6.28367786059999,1.00890084038,3.66548827189999,1.82451465854,2.70693806108,4.55403317738,43937000.0,10.6096819482588,3369.73514578,43937000.0,1576036.40884,5.30368080409,1.931189916,3.82907697364,4.20315684977,4.44212340867,4.49401310783,4.77105848185,4.56859288211,3.66548827189999,4.69559631799
251,Armenia,ARM,2017,0.197364768091,0.717591362749,0.167047141359999,2.59281282375,0.504359711666,2.75458269616,1.96498793982999,2.24357955107,3.16666091996,2945000.0,8.26379926610708,2618.0865224,2945000.0,92936.0483763,2.84527726781,1.04505172186,3.18613028589999,6.19243921585,2.98072378654,2.32330415554,2.94131817717,4.71676871187999,2.75458269616,2.99691323942
279,Australia,AUS,2017,0.363326333425,1.1420970115,0.943081003971999,6.58430117714,2.31514207267,4.62388098607,1.51193514232,3.64414180436,5.57469287784,24585000.0,11.0468849403709,4137.16246691,24585000.0,1077458.4367,6.7410070414,2.58844789548,4.85863575799,4.11912526559,5.97364164396,5.62767859197,6.26098638696,4.97737922143,4.62388098607,6.10128964422999
307,Austria,AUT,2017,0.256957852233,0.93979417437,0.675111961603,5.34127539525,0.902116974356,3.2609699942,1.82406509366,2.21778361269,4.26724897834,8820000.0,11.2021569903042,2992.09754639,8820000.0,322677.557345,3.7316735402,1.34434804331,3.85084839885,4.47193524319,4.14913097672,2.81027659748,3.95076657873,4.52897369621,3.2609699942,4.09572716105
